corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,corp_cls,inference_rule,remndr_exprtn1,remndr_exprtn2,sm,stlm_dt,value_source,yy10_excess,yy1_below,yy1_excess_yy2_below,yy2_excess_yy3_below,yy3_excess_yy4_below,yy4_excess_yy5_below,yy5_excess_yy10_below,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
KB금융,지주,지주,00688996,KB금융,2019,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"46,023,124,000,000",2019-12-31,api,"1,387,700,000,000","12,268,814,000,000","9,926,240,000,000","8,538,120,000,000","5,381,240,000,000","5,040,000,000,000","3,481,010,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2019"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000468,api_row,2026-08-31T15:36:07+09:00,000,run_20260831_152517_0279,raw/cprndNrdmpBlce/00688996_2019_11011.json,653b4d55e7f41b945c496e0472eb67b428568acadd18e951a3e44a8c9c97c1ba,0
KB금융,지주,지주,00688996,KB금융,2019,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,"2,230,193,000,000",2019-12-31,api,-,"1,035,022,000,000","276,162,000,000","868,066,000,000","50,943,000,000",-,-,cprndNrdmpBlce,"{""bsns_year"": ""2019"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000468,api_row,2026-08-31T15:36:07+09:00,000,run_20260831_152517_0279,raw/cprndNrdmpBlce/00688996_2019_11011.json,653b4d55e7f41b945c496e0472eb67b428568acadd18e951a3e44a8c9c97c1ba,0
KB금융,지주,지주,00688996,KB금융,2019,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"48,253,317,000,000",2019-12-31,api,"1,387,700,000,000","13,303,836,000,000","10,202,402,000,000","9,406,186,000,000","5,432,183,000,000","5,040,000,000,000","3,481,010,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2019"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000468,api_row,2026-08-31T15:36:07+09:00,000,run_20260831_152517_0279,raw/cprndNrdmpBlce/00688996_2019_11011.json,653b4d55e7f41b945c496e0472eb67b428568acadd18e951a3e44a8c9c97c1ba,0
KB금융,지주,지주,00688996,KB금융,2020,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"56,247,131,000,000",2020-12-31,api,"694,000,000,000","18,211,781,000,000","12,976,160,000,000","9,379,613,000,000","6,208,747,000,000","3,373,230,000,000","5,403,600,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2020"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000533,api_row,2026-08-31T15:36:18+09:00,000,run_20260831_152517_0288,raw/cprndNrdmpBlce/00688996_2020_11011.json,b46a154999fed57d490755a7f1e563d5a9b584cbd4737f4352356321c1fea58a,0
KB금융,지주,지주,00688996,KB금융,2020,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,"2,782,852,000,000",2020-12-31,api,-,"764,454,000,000","1,066,431,000,000","657,567,000,000",-,"294,400,000,000",-,cprndNrdmpBlce,"{""bsns_year"": ""2020"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000533,api_row,2026-08-31T15:36:18+09:00,000,run_20260831_152517_0288,raw/cprndNrdmpBlce/00688996_2020_11011.json,b46a154999fed57d490755a7f1e563d5a9b584cbd4737f4352356321c1fea58a,0
KB금융,지주,지주,00688996,KB금융,2020,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"59,029,983,000,000",2020-12-31,api,"694,000,000,000","18,976,235,000,000","14,042,591,000,000","10,037,180,000,000","6,208,747,000,000","3,667,630,000,000","5,403,600,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2020"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000533,api_row,2026-08-31T15:36:18+09:00,000,run_20260831_152517_0288,raw/cprndNrdmpBlce/00688996_2020_11011.json,b46a154999fed57d490755a7f1e563d5a9b584cbd4737f4352356321c1fea58a,0
KB금융,지주,지주,00688996,KB금융,2021,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"58,535,392,000,000",2021-12-31,api,"627,700,000,000","20,861,320,000,000","12,263,400,000,000","9,869,856,000,000","4,109,570,000,000","4,751,397,000,000","6,052,149,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20220325001281,api_row,2026-08-31T15:36:29+09:00,000,run_20260831_152517_0297,raw/cprndNrdmpBlce/00688996_2021_11011.json,94308dd490ba716aec7e14c1cbef4465ebd97817ded71058029a52e79628aad5,0
KB금융,지주,지주,00688996,KB금융,2021,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,"4,595,023,000,000",2021-12-31,api,-,"2,791,715,000,000","889,095,000,000","223,710,000,000","399,275,000,000","161,228,000,000","130,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20220325001281,api_row,2026-08-31T15:36:29+09:00,000,run_20260831_152517_0297,raw/cprndNrdmpBlce/00688996_2021_11011.json,94308dd490ba716aec7e14c1cbef4465ebd97817ded71058029a52e79628aad5,0
KB금융,지주,지주,00688996,KB금융,2021,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"63,130,415,000,000",2021-12-31,api,"627,700,000,000","23,653,035,000,000","13,152,495,000,000","10,093,566,000,000","4,508,845,000,000","4,912,625,000,000","6,182,149,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20220325001281,api_row,2026-08-31T15:36:29+09:00,000,run_20260831_152517_0297,raw/cprndNrdmpBlce/00688996_2021_11011.json,94308dd490ba716aec7e14c1cbef4465ebd97817ded71058029a52e79628aad5,0
KB금융,지주,지주,00688996,KB금융,2022,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"59,350,140,000,000",2022-12-31,api,"927,700,000,000","24,418,963,000,000","11,935,139,000,000","8,268,651,000,000","5,600,547,000,000","1,960,190,000,000","6,238,950,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20231005000471,api_row,2026-08-31T15:36:40+09:00,000,run_20260831_152517_0306,raw/cprndNrdmpBlce/00688996_2022_11011.json,1356703c51ceb9e5f5d393755ff38e34374c0043ad9aaed75ed544f4bc12cef2,0
